"Sent Successfully","Sent Successfully",Amasty_AdvancedReview
"Sending Failed","Sending Failed",Amasty_AdvancedReview
Canceled,Canceled,Amasty_AdvancedReview
"Email was not sent. Customer was unsubscribed.","Email was not sent. Customer was unsubscribed.",Amasty_AdvancedReview
"Email was not sent. Customer belongs to Customer Group disabled in Review Reminder settings.","Email was not sent. Customer belongs to Customer Group disabled in Review Reminder settings.",Amasty_AdvancedReview
Recent,Recent,Amasty_AdvancedReview
Random,Random,Amasty_AdvancedReview
"Unable to save comment with ID %1. Error: %2","Unable to save comment with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to save new comment. Error: %1","Unable to save new comment. Error: %1",Amasty_AdvancedReview
"Comment with specified ID ""%1"" not found.","Comment with specified ID ""%1"" not found.",Amasty_AdvancedReview
"Unable to remove comment with ID %1. Error: %2","Unable to remove comment with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to remove comment. Error: %1","Unable to remove comment. Error: %1",Amasty_AdvancedReview
"Unable to save image with ID %1. Error: %2","Unable to save image with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to save new image. Error: %1","Unable to save new image. Error: %1",Amasty_AdvancedReview
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found.",Amasty_AdvancedReview
"Unable to remove image with ID %1. Error: %2","Unable to remove image with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to remove image. Error: %1","Unable to remove image. Error: %1",Amasty_AdvancedReview
"Unable to save reminder item with ID %1. Error: %2","Unable to save reminder item with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to save new reminder item. Error: %1","Unable to save new reminder item. Error: %1",Amasty_AdvancedReview
"Reminder item with specified ID ""%1"" not found.","Reminder item with specified ID ""%1"" not found.",Amasty_AdvancedReview
"Unable to remove reminder item with ID %1. Error: %2","Unable to remove reminder item with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to remove reminder item. Error: %1","Unable to remove reminder item. Error: %1",Amasty_AdvancedReview
"Unable to save unsubscribe with ID %1. Error: %2","Unable to save unsubscribe with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to save new unsubscribe. Error: %1","Unable to save new unsubscribe. Error: %1",Amasty_AdvancedReview
"Unsubscribe with specified ID ""%1"" not found.","Unsubscribe with specified ID ""%1"" not found.",Amasty_AdvancedReview
"Unable to remove unsubscribe with ID %1. Error: %2","Unable to remove unsubscribe with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to remove unsubscribe. Error: %1","Unable to remove unsubscribe. Error: %1",Amasty_AdvancedReview
"Unable to save vote with ID %1. Error: %2","Unable to save vote with ID %1. Error: %2",Amasty_AdvancedReview
