"Dialog Close Delay (in seconds)","Dialog Close Delay (in seconds)",module,Amasty_Cart
"Set a timer for the Continue button. When the preset period expires, the dialog box disappears. If set to 0, dialog won’t be hidden automatically.","Set a timer for the Continue button. When the preset period expires, the dialog box disappears. If set to 0, dialog won’t be hidden automatically.",module,Amasty_Cart
"Enable a Confirmation Pop-up on a Product Page","Enable a Confirmation Pop-up on a Product Page",module,Amasty_Cart
"Continue Button Action on a Product Page","Continue Button Action on a Product Page",module,Amasty_Cart
"Choose whether the Continue button on a product view page should link to the category page or remain on the product page.","Choose whether the Continue button on a product view page should link to the category page or remain on the product page.",module,Amasty_Cart
"Confirmation Pop-up Display","Confirmation Pop-up Display",module,Amasty_Cart
"Align Pop-up","Align Pop-up",module,Amasty_Cart
"Choose where to locate the cart pop-up - Center, Top, Top left, Top right, Left, Right.","Choose where to locate the cart pop-up - Center, Top, Top left, Top right, Left, Right.",module,Amasty_Cart
"Image Display for Configurable Products","Image Display for Configurable Products",module,Amasty_Cart
"Choose to display a Parent Configurable Product Image or a Child Simple Product Image.","Choose to display a Parent Configurable Product Image or a Child Simple Product Image.",module,Amasty_Cart
"Display in Pop-up","Display in Pop-up",module,Amasty_Cart
"Choose what to display in the Confirmation Pup-up","Choose what to display in the Confirmation Pup-up",module,Amasty_Cart
"Selling Options","Selling Options",module,Amasty_Cart
"Product Block Type Displayed in the Confirmation Pop-up","Product Block Type Displayed in the Confirmation Pop-up",module,Amasty_Cart
Title,Title,module,Amasty_Cart
Subtitle,Subtitle,module,Amasty_Cart
"Products Qty Limit","Products Qty Limit",module,Amasty_Cart
"If more than 2 then slider is activated","If more than 2 then slider is activated",module,Amasty_Cart
"Visual Options","Visual Options",module,Amasty_Cart
"Background Color","Background Color",module,Amasty_Cart
"Product Name Color","Product Name Color",module,Amasty_Cart
"Text Color","Text Color",module,Amasty_Cart
"Button Text Color","Button Text Color",module,Amasty_Cart
"Continue Button Color","Continue Button Color",module,Amasty_Cart
"View Cart Button Color","View Cart Button Color",module,Amasty_Cart
"Automatic Related Products","Automatic Related Products",module,Amasty_Cart
Status,Статус,module,Amasty_Cart
"Power it with the Automatic Related Products Extension. See more details <a target=""_blank"" href=""https://amasty.com/automatic-related-products-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=cart_mostviewed_m2"">here</a>.","Power it with the Automatic Related Products Extension. See more details <a target=""_blank"" href=""https://amasty.com/automatic-related-products-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=cart_mostviewed_m2"">here</a>.",module,Amasty_Cart
