"Add Social Login to","Add Social Login to",module,Amasty_SocialLogin
"Choose where to place the social login.","Choose where to place the social login.",module,Amasty_SocialLogin
"Login Buttons Shape","Login Buttons Shape",module,Amasty_SocialLogin
"Enable Ajax Popup","Enable Ajax Popup",module,Amasty_SocialLogin
"Set 'Yes' to activate AJAX Pop-up for the registration and login.","Set 'Yes' to activate AJAX Pop-up for the registration and login.",module,Amasty_SocialLogin
"Login Buttons Position","Login Buttons Position",module,Amasty_SocialLogin
"Please configure the Social Login Buttons position in the Ajax pop-up. Note that the bottom position is the only available option for the registration pop-up.","Please configure the Social Login Buttons position in the Ajax pop-up. Note that the bottom position is the only available option for the registration pop-up.",module,Amasty_SocialLogin
"Redirect after Login","Redirect after Login",module,Amasty_SocialLogin
"Redirect Url after Login","Redirect Url after Login",module,Amasty_SocialLogin
"Select the behavior and the page to direct customers after their social login.","Select the behavior and the page to direct customers after their social login.",module,Amasty_SocialLogin
Google,Google,module,Amasty_SocialLogin
Enabled,Enabled,module,Amasty_SocialLogin
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#google"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#google"">here</a>.",module,Amasty_SocialLogin
"Consumer Key (API Key)","Consumer Key (API Key)",module,Amasty_SocialLogin
"Consumer Secret (API Secret)","Consumer Secret (API Secret)",module,Amasty_SocialLogin
"Valid Redirect URI","Valid Redirect URI",module,Amasty_SocialLogin
"Sort Order","Sort Order",module,Amasty_SocialLogin
Facebook,Facebook,module,Amasty_SocialLogin
Twitter,Twitter,module,Amasty_SocialLogin
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitter"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitter"">here</a>.",module,Amasty_SocialLogin
"Valid Callback URL","Valid Callback URL",module,Amasty_SocialLogin
Instagram,Instagram,module,Amasty_SocialLogin
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#instagram"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#instagram"">here</a>.",module,Amasty_SocialLogin
LinkedIn,LinkedIn,module,Amasty_SocialLogin
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#linkedin"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#linkedin"">here</a>.",module,Amasty_SocialLogin
Amazon,Amazon,module,Amasty_SocialLogin
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#amazon"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#amazon"">here</a>.",module,Amasty_SocialLogin
Paypal,Paypal,module,Amasty_SocialLogin
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#paypal"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#paypal"">here</a>.",module,Amasty_SocialLogin
Twitch,Twitch,module,Amasty_SocialLogin
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitch"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitch"">here</a>.",module,Amasty_SocialLogin
"Login type","Login type",module,Amasty_SocialLogin
