"Please make sure the CMS page is enabled (Content -> Elements -> Pages)","Please make sure the CMS page is enabled (Content -> Elements -> Pages)",module,Amasty_ShopbyBrand
"Add Brands Link to Top Menu","Add Brands Link to Top Menu",module,Amasty_ShopbyBrand
"Display Link to All Brands Page in Top Menu","Display Link to All Brands Page in Top Menu",module,Amasty_ShopbyBrand
"Show Brands List","Show Brands List",module,Amasty_ShopbyBrand
"Displays Brands List and Filter By Character in Top Menu Item","Displays Brands List and Filter By Character in Top Menu Item",module,Amasty_ShopbyBrand
"Add Brands to Account Top Links","Add Brands to Account Top Links",module,Amasty_ShopbyBrand
"Display Link to All Brands Page in Account Top Links","Display Link to All Brands Page in Account Top Links",module,Amasty_ShopbyBrand
"Brands Item Label","Brands Item Label",module,Amasty_ShopbyBrand
"Used in top menu and account links","Used in top menu and account links",module,Amasty_ShopbyBrand
"Display tooltip","Display tooltip",module,Amasty_ShopbyBrand
"Tooltip content","Tooltip content",module,Amasty_ShopbyBrand
"Possible variables: {title}, {small_image}, {image}, {description}, {short_description}","Possible variables: {title}, {small_image}, {image}, {description}, {short_description}",module,Amasty_ShopbyBrand
"All Brands Page","All Brands Page",module,Amasty_ShopbyBrand
"Widget Code","Widget Code",module,Amasty_ShopbyBrand
"Show Brand Logo","Show Brand Logo",module,Amasty_ShopbyBrand
"Image Max Width","Image Max Width",module,Amasty_ShopbyBrand
"Image Max Height","Image Max Height",module,Amasty_ShopbyBrand
Optional.,Optional.,module,Amasty_ShopbyBrand
"Enable Search","Enable Search",module,Amasty_ShopbyBrand
"Enable Filter by Character","Enable Filter by Character",module,Amasty_ShopbyBrand
"Show Characters without Brands","Show Characters without Brands",module,Amasty_ShopbyBrand
"in a Filter by Character.","in a Filter by Character.",module,Amasty_ShopbyBrand
"Show Products Quantity","Show Products Quantity",module,Amasty_ShopbyBrand
"Show Brands Without Products","Show Brands Without Products",module,Amasty_ShopbyBrand
"Brand Slider","Brand Slider",module,Amasty_ShopbyBrand
"Visible Items Quantity","Visible Items Quantity",module,Amasty_ShopbyBrand
"Sort By","Sort By",module,Amasty_ShopbyBrand
"Header Background Color","Header Background Color",module,Amasty_ShopbyBrand
"Default is #F58C12","Default is #F58C12",module,Amasty_ShopbyBrand
"Header Text Color","Header Text Color",module,Amasty_ShopbyBrand
"Header Title","Header Title",module,Amasty_ShopbyBrand
"Slider Max Width","Slider Max Width",module,Amasty_ShopbyBrand
"Show Brand Label","Show Brand Label",module,Amasty_ShopbyBrand
"Show Buttons","Show Buttons",module,Amasty_ShopbyBrand
