sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_description,created_at,updated_at,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
124909,,Default,simple,"Default Category,Gear,Default Category,Gear,Fitness Equipment",base,"Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, размер M, красная","<p>Выполнена из мягкой пряжи, крупной вязкой. Нарядность и праздничный вид изделию придает красивый воротник и элегантная брошь.</p>
<p>Благодаря своей эластичности изделие хорошо садится по фигуре животного, не стесняя его движений во время игр и прогулок, практична в носке.</p>
<p>В таком наряде ваш любимец будет выглядеть очень нарядно и стильно.</p>
<p>Подходит для собак средних и мелких пород.</p>
<p>Рекомендована ручная/деликатная стирка при температуре 30 С.</p>","Купить Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, золотистая, M в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",1.23,1,Taxable Goods,"Catalog, Search",14,doggyduds-124909,"Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, красная, M купить в Киеве, Днепре, Украине","Купить Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, красная, M в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",2015-10-25 3:34:20,2015-10-25 3:34:20,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,"24-WG087,24-WG086","24-WG087,24-WG086","24-WG087,24-WG086",,"name=Custom Yoga Option,type=drop_down,required=0,price=10.0000,price_type=fixed,sku=,option_title=Gold|name=Custom Yoga Option,type=drop_down,required=0,price=10.0000,price_type=fixed,sku=,option_title=Silver|name=Custom Yoga Option,type=drop_down,required=0,price=10.0000,price_type=fixed,sku=yoga3sku,option_title=Platinum",,,,,,
124908,,Default,simple,"Default Category,Gear,Default Category,Gear,Fitness Equipment",base,"Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, размер XS, красная","<p>Выполнена из мягкой пряжи, крупной вязкой. Нарядность и праздничный вид изделию придает красивый воротник и элегантная брошь.</p>
<p>Благодаря своей эластичности изделие хорошо садится по фигуре животного, не стесняя его движений во время игр и прогулок, практична в носке.</p>
<p>В таком наряде ваш любимец будет выглядеть очень нарядно и стильно.</p>
<p>Подходит для собак средних и мелких пород.</p>
<p>Рекомендована ручная/деликатная стирка при температуре 30 С.</p>","Купить Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, красная, XS в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",15,1,Taxable Goods,"Catalog, Search",17,doggyduds-124908,"Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, розовая, M купить в Киеве, Днепре, Украине","Купить Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, розовая, M в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",2015-10-25 3:34:20,2015-10-25 3:34:20,Block after Info Column,,,,,,,,,,,Use config,,"has_options=0,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,24-WG087,24-WG087,24-WG087,,,,,,,,
124910,,Default,simple,"Default Category,Gear,Default Category,Gear,Fitness Equipment",base,"Кенгурушка Monkey Daze Angel Black для собак, размер XS, в белый горошек",<p>Отличная кенгурущка для повседневных прогулок.</p>,"Купить Черная кенгурушка Monkey Daze Angel Black для собак, в белый горошек в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",6,1,Taxable Goods,"Catalog, Search",21,doggyduds-124910,"Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, золотистая, M купить в Киеве, Днепре, Украине","Купить Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, золотистая, M в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",2015-10-25 3:34:20,2015-10-25 3:34:20,Block after Info Column,,,,,,,,,,,Use config,,"has_options=0,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,24-WG086,24-WG086,24-WG086,,,,,,,,
124911,,Default,simple,"Default Category,Gear,Default Category,Gear,Fitness Equipment",base,"Платье Monkey Daze Angel Wing Pink для собак, размер XS, розовое с белой полоской","<p>Уникальная одежда и аксессуары Monkey Daze - это отличное качество и высокая мода для домашних животных.</p>
<p>Одежда Monkey Daze не стесняет движений животного, не спутывает и не электризует шерсть.</p>
<p>Все используемые для изготовления одежды материалы натуральные и антиаллергенные.</p>
<p>Производитель: Monkey Daze.</p>","Купить Платье Monkey Daze Angel Wing Pink для собак, розовое с белой полоской, XS в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",52,1,Taxable Goods,"Catalog, Search",35,doggyduds-124911,"Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, красная, XS купить в Киеве, Днепре, Украине","Купить Кофточка Doggyduds Shaggy Shrug для собак средних и мелких пород, красная, XS в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",2015-10-25 3:34:20,2015-10-25 3:34:20,Block after Info Column,,,,,,,,,,,,,"has_options=0,quantity_and_stock_status=In Stock,required_options=0",0,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0,1,0,0,1,0,1,"24-WG087,24-WG086","24-WG087,24-WG086","24-WG087,24-WG086",,,,,,,,"24-WG085=5.0000,24-WG086=5.0000"
115108,,Default,simple,"Default Category,Gear,Default Category,Gear,Fitness Equipment",base,"Платье Monkey Daze Angel Wing Pink для собак, размер S, розовое с белой полоской","<p>Уникальная одежда и аксессуары Monkey Daze - это отличное качество и высокая мода для домашних животных.</p>
<p>Одежда Monkey Daze не стесняет движений животного, не спутывает и не электризует шерсть.</p>
<p>Все используемые для изготовления одежды материалы натуральные и антиаллергенные.</p>
<p>Производитель: Monkey Daze.</p>","Купить Платье Monkey Daze Angel Wing Pink для собак, розовое с белой полоской, S в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",1.12,1,Taxable Goods,"Catalog, Search",14,doggyduds-115108,"Черная кенгурушка Monkey Daze Angel Black для собак, в белый горошек купить в Киеве, Днепре, Украине","Купить Черная кенгурушка Monkey Daze Angel Black для собак, в белый горошек в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов",2015-10-25 3:34:20,2015-10-25 3:34:20,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,shipment_type=together,quantity_and_stock_status=In Stock,required_options=0",0,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,"24-WG087,24-WG086","24-WG087,24-WG086","24-WG087,24-WG086",,,dynamic,dynamic,Price range,fixed,"name=Bundle Option One1,type=select,required=1,sku=24-WG085,price=15.0000,default=0,default_qty=1.0000,price_type=fixed|name=Bundle Option One1,type=select,required=1,sku=24-WG086,price=10.0000,default=1,default_qty=1.0000,price_type=fixed",
